id;finsat;objfinlit;subfinlit;optfinbeh;finatt;finlitindex;recfined;age18;age24;age44;age64;female;education;married;children;income_high;income_low;country
80;6;8;8;7,5;9;24,5;1;0;1;0;0;0;1;0;0;0;0;1
81;6;8;8;7,5;9;24,5;1;0;1;0;0;1;1;0;0;0;1;1
82;5;8;3;7,5;6;21,5;0;0;1;0;0;0;1;0;0;0;0;1
83;3;6;7;10;9;25;1;0;1;0;0;1;1;0;0;0;1;1
84;8;6;8;10;9;25;1;0;1;0;0;1;1;0;0;0;0;1
85;4;8;5;10;10;28;1;0;1;0;0;1;1;0;0;0;0;1
86;6;8;8;0;7;15;1;0;1;0;0;0;1;0;0;0;0;1
87;5;8;7;10;9;27;1;0;1;0;0;1;1;0;0;1;0;1
88;5;8;3;0;5;13;0;0;1;0;0;0;1;0;0;1;0;1
89;9;8;8;10;10;28;1;0;1;0;0;0;1;0;0;1;0;1
90;2;6;4;7,5;5;18,5;1;0;1;0;0;1;1;0;0;0;1;1
91;9;6;6;7,5;10;23,5;1;0;1;0;0;0;1;0;0;1;0;1
92;6;8;7;7,5;10;25,5;1;0;1;0;0;0;1;0;0;1;0;0
93;7;8;10;7,5;8;23,5;1;0;1;0;0;0;1;0;0;1;0;1
94;1;8;7;5;8;21;1;0;1;0;0;0;1;0;0;0;1;1
95;5;6;10;10;10;26;1;0;1;0;0;1;1;0;0;0;1;1
96;7;6;7;5;5;16;1;0;1;0;0;0;1;0;0;1;0;1
97;4;8;4;10;6;24;0;1;0;0;0;1;0;0;0;0;1;0
98;8;6;7;10;7;23;0;0;1;0;0;1;1;0;0;0;0;0
99;3;8;3;7,5;10;25,5;1;0;1;0;0;0;1;0;0;1;0;0
100;6;6;8;7,5;10;23,5;1;0;1;0;0;0;1;0;0;0;0;1
101;5;8;8;5;8;21;1;0;1;0;0;0;1;0;0;0;1;1
102;1;8;5;7,5;8;23,5;1;0;1;0;0;1;1;0;0;0;1;1
103;9;10;6;0;10;20;0;0;1;0;0;1;1;0;0;1;0;1
104;4;4;5;2,5;8;14,5;1;0;0;1;0;1;1;1;1;0;1;0
105;1;6;5;7,5;10;23,5;1;0;1;0;0;0;1;0;0;0;1;0
106;5;8;7;5;5;18;0;0;0;0;0;1;0;1;1;0;0;0
107;4;8;5;7,5;10;25,5;1;0;1;0;0;1;1;0;0;0;0;1
108;6;6;8;7,5;10;23,5;1;0;1;0;0;0;1;0;0;0;0;1
109;5;6;8;10;10;26;1;0;1;0;0;0;1;0;0;0;1;1
110;7;8;7;7,5;7;22,5;1;0;1;0;0;0;1;1;0;0;0;1
111;9;6;8;10;6;22;1;0;1;0;0;1;1;0;0;1;0;1
112;4;8;8;5;8;21;1;0;1;0;0;0;1;0;0;1;0;1
113;7;8;8;7,5;10;25,5;1;0;1;0;0;0;1;0;0;0;0;1
114;5;6;7;7,5;9;22,5;1;0;1;0;0;0;1;0;0;0;0;0
115;6;8;4;10;7;25;1;0;1;0;0;0;1;0;0;0;1;1
116;6;6;7;7,5;8;21,5;1;0;1;0;0;0;0;0;0;1;0;0
117;7;8;7;10;10;28;1;0;1;0;0;1;1;0;0;0;0;1
118;3;6;8;10;10;26;1;0;1;0;0;0;1;0;0;0;1;1
119;7;6;7;5;7;18;1;0;1;0;0;0;1;0;0;1;0;1
120;7;6;5;7,5;9;22,5;1;0;1;0;0;1;1;0;0;1;0;1
121;1;8;6;10;7;25;1;0;1;0;0;1;1;0;0;0;1;1
122;7;8;6;7,5;7;22,5;0;1;0;0;0;0;1;0;0;1;0;1
123;7;8;8;7,5;6;21,5;1;0;1;0;0;0;1;0;0;0;0;1
124;6;6;8;7,5;10;23,5;1;0;1;0;0;0;1;0;0;0;0;1
125;4;8;4;5;7;20;1;0;1;0;0;0;1;0;0;1;0;1
126;7;4;5;7,5;5;16,5;0;0;1;0;0;1;1;0;0;1;0;1
127;7;2;7;10;10;22;0;0;1;0;0;0;1;0;0;1;0;1
128;4;6;7;7,5;9;22,5;0;0;1;0;0;0;1;0;0;0;1;1
129;7;8;6;7,5;7;22,5;1;0;0;1;0;0;1;1;1;0;0;0
130;7;8;6;10;8;26;1;0;1;0;0;0;1;0;0;1;0;1
131;5;6;8;7,5;8;21,5;0;0;1;0;0;1;1;0;0;0;0;0
132;6;8;6;7,5;4;19,5;1;0;1;0;0;0;0;0;0;1;0;1
133;4;8;5;10;10;28;0;0;1;0;0;0;1;0;0;0;1;1
134;3;8;9;10;9;27;1;0;1;0;0;0;1;0;0;0;1;1
135;5;4;5;2,5;1;7,5;1;0;0;1;0;0;0;1;1;0;0;0
136;4;6;4;7,5;5;18,5;0;0;1;0;0;0;1;1;1;1;0;1
137;3;8;6;10;8;26;1;0;1;0;0;0;1;0;0;0;1;1
138;3;2;5;2,5;4;8,5;0;0;0;1;0;0;0;0;0;0;0;0
139;1;8;7;5;1;14;0;0;0;1;0;0;0;0;0;0;0;0
140;2;10;5;7,5;2;19,5;1;0;0;1;0;1;0;1;1;0;0;1
141;6;6;3;5;4;15;0;0;0;1;0;1;1;1;1;0;0;0
142;5;6;4;0;3;9;0;0;0;1;0;1;0;1;1;0;0;1
143;5;6;5;5;5;16;1;0;0;0;1;1;0;1;1;0;1;0
144;6;6;5;10;6;22;0;0;0;0;1;0;1;1;1;1;0;0
145;4;6;7;7,5;6;19,5;0;0;0;1;0;0;1;1;1;0;0;1
146;5;6;5;2,5;1;9,5;0;0;0;0;1;1;0;1;1;0;0;0
147;6;6;6;10;8;24;1;0;0;1;0;1;1;1;1;0;0;0
148;6;4;5;10;5;19;1;0;0;1;0;0;0;0;1;0;0;0
149;3;6;8;7,5;9;22,5;1;0;1;0;0;0;1;0;0;0;1;0
150;5;6;5;2,5;5;13,5;0;0;0;0;1;0;1;1;1;0;1;0
151;8;6;6;7,5;2;15,5;1;0;0;0;1;1;1;1;1;1;0;0
152;3;6;5;10;8;24;0;0;1;0;0;0;1;0;0;1;0;1
153;3;10;5;2,5;1;13,5;1;0;0;1;0;0;1;0;0;0;0;0
154;5;4;5;10;6;20;1;0;0;1;0;1;1;1;1;0;0;1
155;3;4;8;5;8;17;0;0;0;0;1;0;1;1;1;0;1;0
156;9;4;10;10;10;24;1;0;0;1;0;1;1;1;1;1;0;1
157;7;6;7;5;7;18;1;0;1;0;0;0;0;0;0;0;1;0
158;7;8;7;5;5;18;1;0;0;1;0;0;0;1;1;0;0;1
159;6;8;5;7,5;7;22,5;1;0;1;0;0;0;1;0;0;0;0;1
160;7;6;8;5;5;16;0;0;0;0;1;1;1;1;1;0;0;0
161;4;2;4;0;6;8;0;0;0;1;0;1;1;1;1;0;0;0
162;8;4;5;10;10;24;1;0;0;0;0;1;0;1;1;0;0;0
163;6;6;8;10;8;24;1;0;0;1;0;1;1;1;1;0;0;0
164;6;8;9;5;8;21;0;0;0;1;0;0;1;1;1;0;0;0
165;3;6;5;5;3;14;1;0;0;1;0;1;1;0;0;0;0;0
166;7;4;7;7,5;5;16,5;0;0;0;0;1;1;0;1;1;0;0;0
167;2;6;1;10;1;17;1;0;0;1;0;0;1;1;1;1;0;0
168;5;6;4;7,5;10;23,5;1;0;0;1;0;1;1;1;1;0;0;0
169;4;6;3;5;3;14;1;0;0;1;0;0;1;1;1;0;1;1
170;7;10;7;10;10;30;1;0;1;0;0;0;1;0;0;0;0;1
171;1;8;8;5;8;21;1;0;1;0;0;0;1;0;0;0;1;1
172;4;2;3;7,5;5;14,5;0;0;1;0;0;1;1;0;0;0;0;0
173;4;2;4;5;4;11;0;0;0;1;0;1;1;0;0;1;0;0
174;4;8;7;7,5;5;20,5;1;0;1;0;0;0;1;0;0;1;0;1
175;7;8;7;5;6;19;1;0;0;1;0;0;1;1;0;1;0;0
176;5;10;7;7,5;9;26,5;1;0;1;0;0;0;1;0;0;1;0;1
177;1;6;5;5;8;19;0;0;1;0;0;1;1;0;0;0;1;1
178;5;2;5;5;8;15;1;0;1;0;0;1;1;0;0;0;1;1
179;3;8;6;10;3;21;0;0;1;0;0;0;1;0;0;0;1;1
180;5;6;8;5;7;18;1;0;0;0;1;0;1;1;1;0;0;0
181;8;6;8;10;9;25;1;0;0;1;0;0;1;0;0;1;0;0
182;8;8;3;7,5;10;25,5;0;0;1;0;0;1;1;0;0;0;0;1
183;4;2;7;5;9;16;0;0;0;1;0;1;1;0;0;0;0;0
184;8;6;8;2,5;7;15,5;0;0;0;1;0;0;1;0;0;1;0;0
185;6;8;8;7,5;9;24,5;1;0;0;1;0;1;1;0;0;0;0;0
186;9;4;6;7,5;10;21,5;1;0;1;0;0;1;1;0;0;1;0;1
187;3;4;3;5;3;12;0;0;1;0;0;1;1;0;0;0;1;1
188;7;8;8;10;10;28;1;0;1;0;0;1;1;0;0;1;0;1
189;6;8;6;2,5;9;19,5;1;0;1;0;0;1;1;0;0;1;0;1
190;6;10;7;7,5;10;27,5;1;0;1;0;0;0;1;0;0;0;0;1
191;4;8;4;7,5;7;22,5;0;0;1;0;0;1;1;0;0;1;0;1
192;2;6;6;7,5;5;18,5;1;0;1;0;0;0;1;0;0;0;0;1
193;3;2;3;10;4;16;1;0;1;0;0;1;1;0;0;0;0;1
194;5;6;6;7,5;9;22,5;0;0;1;0;0;1;1;0;0;0;0;1
195;6;6;8;2,5;7;15,5;0;0;0;1;0;0;1;1;0;0;0;1
196;8;4;3;5;8;17;0;0;0;0;1;1;1;1;1;0;1;0
197;2;8;8;10;10;28;1;0;1;0;0;1;1;0;0;0;1;1
198;4;6;7;0;9;15;1;0;0;0;1;0;0;0;0;0;0;0
199;8;6;8;2,5;7;15,5;0;0;0;1;0;0;1;0;0;1;0;0
200;5;2;8;2,5;9;13,5;0;0;0;1;0;1;1;1;1;0;0;1
201;8;8;6;2,5;7;17,5;0;0;0;1;0;1;1;1;1;1;0;1
202;5;6;7;10;10;26;1;0;0;1;0;1;1;1;1;1;0;0
203;5;8;5;10;7;25;0;0;0;0;0;1;1;1;1;0;1;0
204;7;6;5;7,5;5;18,5;1;0;0;1;0;0;1;0;0;0;0;0
205;5;4;5;7,5;5;16,5;1;0;0;0;1;1;0;1;1;0;0;0
206;6;6;6;10;3;19;0;0;0;0;1;1;0;1;1;0;0;0
207;6;6;10;7,5;9;22,5;1;0;0;1;0;1;1;1;1;0;0;0
208;7;6;7;7,5;7;20,5;1;0;1;0;0;1;1;0;0;0;0;1
209;7;4;7;0;8;12;0;0;0;1;0;1;1;1;1;1;0;0
210;8;8;8;5;9;22;0;0;0;1;0;0;1;1;1;1;0;0
211;5;4;9;7,5;8;19,5;0;0;0;0;0;0;0;1;1;0;0;0
212;7;4;9;5;5;14;1;0;1;0;0;1;1;0;1;0;0;0
213;5;6;7;10;8;24;1;1;0;0;0;1;0;0;0;0;0;0
214;7;6;9;10;7;23;0;0;0;0;1;1;0;1;1;0;0;0
215;5;4;7;5;1;10;0;1;0;0;0;1;1;0;0;0;0;0
216;4;4;8;5;8;17;1;0;0;0;1;1;1;1;1;0;0;0
217;3;8;3;10;9;27;0;0;0;0;1;1;1;1;1;0;1;0
218;5;6;7;5;7;18;0;0;0;1;0;1;1;1;1;0;0;1
219;7;2;8;7,5;7;16,5;1;0;0;0;1;1;1;1;1;1;0;1
